source_path,target_path,classification,content_relation,recommended_action,risk_level,reason,validation_required,final_action
.claude/settings.local.json,,only in SOURCE / local-machine-only,absent from TARGET,SKIP,low,per-developer Claude Code settings; machine-local,none,SKIP
.env,,only in SOURCE / secret or sensitive,absent from TARGET,SKIP,high,env file with real secret values; never copied per safety rules 11-12,none,SKIP
.najm/emulators.log,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,"runtime log/pid file; machine-local, regenerated at runtime",none,SKIP
.najm/emulators.pid,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,"runtime log/pid file; machine-local, regenerated at runtime",none,SKIP
.najm/flutter.log,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,"runtime log/pid file; machine-local, regenerated at runtime",none,SKIP
.najm/flutter.pid,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,"runtime log/pid file; machine-local, regenerated at runtime",none,SKIP
.najm/python.log,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,"runtime log/pid file; machine-local, regenerated at runtime",none,SKIP
.najm/python.pid,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,"runtime log/pid file; machine-local, regenerated at runtime",none,SKIP
CLAUDE.md,CLAUDE.md,only in SOURCE / documentation-only,absent from TARGET,MERGE,low,compatible instructions incorporated into new TARGET AGENTS.md; full original archived for provenance,manual content review,MERGE
clean.sh,clean.sh,only in SOURCE / script or automation,absent from TARGET,ADD,medium,ops suite (ADR-011): removes only regenerable build artifacts/caches/logs; repository-relative paths; inspected line-by-line,bash -n syntax check; doctor.sh smoke run,ADD
docs/ARCHITECTURE_LOCK.md,docs/ARCHITECTURE_LOCK.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,"ADR index / architecture lock referenced by ops scripts and SECRETS.md; documentation only (SOURCE working-tree version, newest)",none,ADD
docs/SECRETS.md,docs/SECRETS.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,secret inventory/sourcing/rotation doc; verified to contain no actual secret values,none,ADD
docs/architecture/AI_ARCHITECTURE_DECISION_BACKLOG.md,docs/architecture/AI_ARCHITECTURE_DECISION_BACKLOG.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_CREDITS_LEDGER_AND_BILLING.md,docs/architecture/AI_CREDITS_LEDGER_AND_BILLING.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_DATA_MODEL_PROPOSALS.md,docs/architecture/AI_DATA_MODEL_PROPOSALS.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_FEATURE_FLAGS_AND_ENTITLEMENTS.md,docs/architecture/AI_FEATURE_FLAGS_AND_ENTITLEMENTS.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_GATEWAY_AND_PROVIDER_ADAPTERS.md,docs/architecture/AI_GATEWAY_AND_PROVIDER_ADAPTERS.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_MIGRATION_STRATEGY.md,docs/architecture/AI_MIGRATION_STRATEGY.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_ORCHESTRATOR.md,docs/architecture/AI_ORCHESTRATOR.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_PLATFORM_OVERVIEW.md,docs/architecture/AI_PLATFORM_OVERVIEW.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_REGISTRIES.md,docs/architecture/AI_REGISTRIES.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/AI_SAFETY_OBSERVABILITY_AND_INCIDENTS.md,docs/architecture/AI_SAFETY_OBSERVABILITY_AND_INCIDENTS.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/architecture/PROMPT_REGISTRY.md,docs/architecture/PROMPT_REGISTRY.md,only in SOURCE / documentation-only,absent from TARGET,ADD,low,approved target AI-platform architecture docs referenced by NAJM_ARCHITECTURE.md section 0; documentation only,none,ADD
docs/phases/PHASE_2_dev_environment.md,,only in SOURCE / documentation-only,absent from TARGET,ARCHIVE,low,historical completion report referencing SOURCE-only commit hashes; archived under historical_phases to avoid presenting as current directive,none,ARCHIVE
docs/phases/PHASE_3_secrets.md,,only in SOURCE / documentation-only,absent from TARGET,ARCHIVE,low,historical completion report referencing SOURCE-only commit hashes; archived under historical_phases,none,ARCHIVE
doctor.sh,doctor.sh,only in SOURCE / script or automation,absent from TARGET,ADD,low,ops suite (ADR-011): read-only environment diagnostics; repository-relative paths; inspected line-by-line,bash -n syntax check; doctor.sh smoke run,ADD
firebase/firebase-debug.log,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,"runtime log/pid file; machine-local, regenerated at runtime",none,SKIP
firebase/firestore-debug.log,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,"runtime log/pid file; machine-local, regenerated at runtime",none,SKIP
flutter_app/e2e/.gitignore,flutter_app/e2e/.gitignore,only in SOURCE / test-only,absent from TARGET,ADD,low,"Playwright E2E suite absent from TARGET; self-contained, emulator-backed (demo-najm), no production access",npm ci + playwright test attempted in validation,ADD
flutter_app/e2e/package-lock.json,flutter_app/e2e/package-lock.json,only in SOURCE / test-only,absent from TARGET,ADD,low,"Playwright E2E suite absent from TARGET; self-contained, emulator-backed (demo-najm), no production access",npm ci + playwright test attempted in validation,ADD
flutter_app/e2e/package.json,flutter_app/e2e/package.json,only in SOURCE / test-only,absent from TARGET,ADD,low,"Playwright E2E suite absent from TARGET; self-contained, emulator-backed (demo-najm), no production access",npm ci + playwright test attempted in validation,ADD
flutter_app/e2e/playwright.config.js,flutter_app/e2e/playwright.config.js,only in SOURCE / test-only,absent from TARGET,ADD,low,"Playwright E2E suite absent from TARGET; self-contained, emulator-backed (demo-najm), no production access",npm ci + playwright test attempted in validation,ADD
flutter_app/e2e/scripts/start-local.sh,flutter_app/e2e/scripts/start-local.sh,only in SOURCE / script or automation,absent from TARGET,ADD,medium,E2E orchestrator; added with hardcoded JDK PATH prefix made defensive; kills only processes it spawned,shell syntax check; E2E run attempted,ADD
flutter_app/e2e/tests/app.spec.js,flutter_app/e2e/tests/app.spec.js,only in SOURCE / test-only,absent from TARGET,ADD,low,"Playwright E2E suite absent from TARGET; self-contained, emulator-backed (demo-najm), no production access",npm ci + playwright test attempted in validation,ADD
plans/phase6-closure-report.md,,only in SOURCE / documentation-only,absent from TARGET,ARCHIVE,low,historical closure report; archived under historical_phases,none,ARCHIVE
python_services/.env,,only in SOURCE / secret or sensitive,absent from TARGET,SKIP,high,env file with real secret values; never copied per safety rules 11-12,none,SKIP
python_services/ai_platform/__init__.py,python_services/ai_platform/__init__.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/budget.py,python_services/ai_platform/budget.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/contracts.py,python_services/ai_platform/contracts.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/errors.py,python_services/ai_platform/errors.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/gateway.py,python_services/ai_platform/gateway.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/ledger.py,python_services/ai_platform/ledger.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/orchestrator.py,python_services/ai_platform/orchestrator.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/policy.py,python_services/ai_platform/policy.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/pricing.py,python_services/ai_platform/pricing.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/prompt_renderer.py,python_services/ai_platform/prompt_renderer.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/provider_adapter.py,python_services/ai_platform/provider_adapter.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/ai_platform/registry.py,python_services/ai_platform/registry.py,only in SOURCE / source code,absent from TARGET,ADD,low,standalone scaffolding package for approved target AI Platform (docs/architecture); not imported by main.py; no runtime behavior change,pytest unit suite run,ADD
python_services/openapi.json,,only in SOURCE / generated or cached,absent from TARGET,SKIP,low,FastAPI-exported OpenAPI document; generated output (TARGET serves /openapi.json in dev); authoritative generator exists,none,SKIP
python_services/tests/unit/test_ai_platform_budget.py,python_services/tests/unit/test_ai_platform_budget.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_contracts.py,python_services/tests/unit/test_ai_platform_contracts.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_gateway.py,python_services/tests/unit/test_ai_platform_gateway.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_ledger.py,python_services/tests/unit/test_ai_platform_ledger.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_orchestrator.py,python_services/tests/unit/test_ai_platform_orchestrator.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_policy.py,python_services/tests/unit/test_ai_platform_policy.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_pricing.py,python_services/tests/unit/test_ai_platform_pricing.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_prompt_renderer.py,python_services/tests/unit/test_ai_platform_prompt_renderer.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_provider_adapter.py,python_services/tests/unit/test_ai_platform_provider_adapter.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
python_services/tests/unit/test_ai_platform_registry.py,python_services/tests/unit/test_ai_platform_registry.py,only in SOURCE / test-only,absent from TARGET,ADD,low,unit tests for ai_platform package,pytest run,ADD
reset.sh,reset.sh,only in SOURCE / script or automation,absent from TARGET,ADD,medium,ops suite (ADR-011): guarded deep reset; preserves .env and sources; NOTE: deletes generated Dart files that TARGET commits (restorable via git); repository-relative paths; inspected line-by-line,bash -n syntax check; doctor.sh smoke run,ADD
restart.sh,restart.sh,only in SOURCE / script or automation,absent from TARGET,ADD,low,ops suite (ADR-011): thin stop+start wrapper; repository-relative paths; inspected line-by-line,bash -n syntax check; doctor.sh smoke run,ADD
setup.sh,setup.sh,only in SOURCE / script or automation,absent from TARGET,ADD,low,"ops suite (ADR-011): dev bootstrap; non-sudo, fail-fast, idempotent; repository-relative paths; inspected line-by-line",bash -n syntax check; doctor.sh smoke run,ADD
start.sh,start.sh,only in SOURCE / script or automation,absent from TARGET,ADD,low,ops suite (ADR-011): local emulator-backed dev stack orchestrator; repository-relative paths; inspected line-by-line,bash -n syntax check; doctor.sh smoke run,ADD
stop.sh,stop.sh,only in SOURCE / script or automation,absent from TARGET,ADD,low,ops suite (ADR-011): stops only services started by start.sh via .najm pid files; repository-relative paths; inspected line-by-line,bash -n syntax check; doctor.sh smoke run,ADD
update.sh,update.sh,only in SOURCE / script or automation,absent from TARGET,ADD,low,ops suite (ADR-011): re-sync dependencies to manifests; no upgrades past pins; repository-relative paths; inspected line-by-line,bash -n syntax check; doctor.sh smoke run,ADD
.env.example,.env.example,"present in both, different / configuration",diverged from common ancestor,MERGE,low,"SOURCE ADR-003 regrouped template is a documented superset; merged keeping TARGET-specific vars (SENTRY_DSN, dart-define notes) and adding TARGET GLM provider vars",manual review; no secret values,MERGE
.github/workflows/ci.yml,.github/workflows/ci.yml,"present in both, different / configuration",diverged from common ancestor,ARCHIVE,medium,SOURCE adds client-secret-isolation CI job that currently FAILS against TARGET (admin_panel/index.html hardcodes X-Service-Token dev-token); adopting would break CI; archived + flagged for manual adoption after fix,none,ARCHIVE
.github/workflows/deploy.yml,.github/workflows/deploy.yml,"present in both, different / configuration",diverged from common ancestor,ARCHIVE,medium,"SOURCE adds Secret Manager secret injection to Cloud Run deploy; changes production deploy behavior and requires secrets to pre-exist; conservative keep-TARGET, archived for manual adoption",none,ARCHIVE
.gitignore,.gitignore,"present in both, different / configuration",diverged from common ancestor,MERGE,low,"merged useful SOURCE patterns (.najm/, emulator logs, node_modules, venv variants, serviceAccount patterns, !.env.example) while keeping TARGET rules; did NOT adopt *.freezed.dart/*.g.dart ignores because TARGET commits generated models",git status check for newly-ignored tracked files,MERGE
NAJM_ARCHITECTURE.md,NAJM_ARCHITECTURE.md,"present in both, different / documentation-only",diverged from common ancestor,MERGE,low,SOURCE working-tree version adds section 0 (AI Platform authority) referencing docs/architecture being added; near-purely additive (2 reworded lines),manual diff review,MERGE
admin_panel/index.html,admin_panel/index.html,"present in both, different / conflicting implementation",diverged from common ancestor,KEEP_TARGET,high,300 diff lines; TARGET variant works with TARGET-only server.js; SOURCE variant unmergeable safely; SOURCE copy archived,none,KEEP_TARGET
admin_panel/package.json,admin_panel/package.json,"present in both, different / configuration",diverged from common ancestor,KEEP_TARGET,low,TARGET adds dev script for its server.js; SOURCE merely lacks it,none,KEEP_TARGET
flutter_app/.flutter-plugins-dependencies,flutter_app/.flutter-plugins-dependencies,"present in both, different / generated or cached",diverged from common ancestor,KEEP_TARGET,low,generated plugin registry; TARGET-local,none,KEEP_TARGET
flutter_app/.metadata,flutter_app/.metadata,"present in both, different / generated or cached",diverged from common ancestor,KEEP_TARGET,low,Flutter tooling metadata regenerated when TARGET added platform scaffolding,none,KEEP_TARGET
flutter_app/lib/app/app.dart,flutter_app/lib/app/app.dart,"present in both, different / source code",diverged from common ancestor,KEEP_TARGET,low,TARGET evolved after fork; SOURCE at fork base,none,KEEP_TARGET
flutter_app/lib/app/router.dart,flutter_app/lib/app/router.dart,"present in both, different / conflicting implementation",diverged from common ancestor,KEEP_TARGET,high,"both sides diverged; SOURCE has an uncommitted redirect fix (ref.read to stop router rebuild resetting navigation) that TARGET may benefit from, but TARGET router heavily evolved (line filters, approval flow); unsafe to merge blind; SOURCE copy archived + flagged for manual review",none,KEEP_TARGET
flutter_app/lib/app/theme.dart,flutter_app/lib/app/theme.dart,"present in both, different / conflicting implementation",diverged from common ancestor,KEEP_TARGET,low,both repos carry equivalent semantic alias layers with different cosmetic values; TARGET builds and is deployed,none,KEEP_TARGET
